n,np,time_serial_s,time_mpi_max_s,speedup
1,1,1e-06,2e-06,0.5
1,2,0.0,4e-06,0.0
1,3,1e-06,4e-06,0.25
1,4,0.0,4e-06,0.0
1,5,0.0,5e-06,0.0
1,6,0.0,6e-06,0.0
1,7,1e-06,9e-06,0.111
1,8,0.0,1e-05,0.0
1,9,0.0,1.1e-05,0.0
1,10,0.0,1.2e-05,0.0
2,1,0.0,2e-06,0.0
2,2,0.0,7e-06,0.0
2,3,1e-06,5e-06,0.2
2,4,1e-06,5e-06,0.2
2,5,0.0,5e-06,0.0
2,6,0.0,8e-06,0.0
2,7,0.0,1.3e-05,0.0
2,8,0.0,1e-05,0.0
2,9,0.0,1.1e-05,0.0
2,10,0.0,1.4e-05,0.0
3,1,0.0,3e-06,0.0
3,2,1e-06,5e-06,0.2
3,3,0.0,5e-06,0.0
3,4,0.0,6e-06,0.0
3,5,0.0,8e-06,0.0
3,6,0.0,1.1e-05,0.0
3,7,0.0,7e-06,0.0
3,8,0.0,1.7e-05,0.0
3,9,0.0,1.3e-05,0.0
3,10,1e-06,1.7e-05,0.059
4,1,0.0,4e-06,0.0
4,2,0.0,5e-06,0.0
4,3,0.0,5e-06,0.0
4,4,0.0,5e-06,0.0
4,5,0.0,9e-06,0.0
4,6,0.0,2e-05,0.0
4,7,1e-06,1e-05,0.1
4,8,0.0,8e-06,0.0
4,9,1e-06,2.4e-05,0.042
4,10,0.0,1.2e-05,0.0
5,1,1e-06,2e-06,0.5
5,2,0.0,5e-06,0.0
5,3,0.0,5e-06,0.0
5,4,0.0,4e-06,0.0
5,5,0.0,6e-06,0.0
5,6,0.0,9e-06,0.0
5,7,0.0,1.1e-05,0.0
5,8,0.0,1.1e-05,0.0
5,9,1e-06,1.2e-05,0.083
5,10,0.0,2.2e-05,0.0
6,1,0.0,2e-06,0.0
6,2,0.0,7e-06,0.0
6,3,0.0,4e-06,0.0
6,4,0.0,5e-06,0.0
6,5,0.0,1e-05,0.0
6,6,0.0,1e-05,0.0
6,7,0.0,1.1e-05,0.0
6,8,0.0,1.2e-05,0.0
6,9,0.0,1.1e-05,0.0
6,10,0.0,2.1e-05,0.0
7,1,0.0,2e-06,0.0
7,2,0.0,4e-06,0.0
7,3,0.0,4e-06,0.0
7,4,1e-06,5e-06,0.2
7,5,0.0,1.2e-05,0.0
7,6,1e-06,1e-05,0.1
7,7,0.0,1.1e-05,0.0
7,8,0.0,2.9e-05,0.0
7,9,0.0,1.1e-05,0.0
7,10,0.0,1.7e-05,0.0
8,1,0.0,2e-06,0.0
8,2,0.0,5e-06,0.0
8,3,0.0,5e-06,0.0
8,4,0.0,5e-06,0.0
8,5,0.0,5e-06,0.0
8,6,0.0,1e-05,0.0
8,7,0.0,8e-06,0.0
8,8,1e-06,2.6e-05,0.038
8,9,0.0,1.4e-05,0.0
8,10,0.0,1.8e-05,0.0
9,1,0.0,2e-06,0.0
9,2,0.0,5e-06,0.0
9,3,0.0,5e-06,0.0
9,4,0.0,1.7e-05,0.0
9,5,0.0,5e-06,0.0
9,6,0.0,1.1e-05,0.0
9,7,0.0,1e-05,0.0
9,8,0.0,1e-05,0.0
9,9,0.0,1e-05,0.0
9,10,1e-06,1.2e-05,0.083
10,1,1e-06,2e-06,0.5
10,2,0.0,7e-06,0.0
10,3,0.0,5e-06,0.0
10,4,0.0,4e-06,0.0
10,5,0.0,1.1e-05,0.0
10,6,1e-06,2.6e-05,0.038
10,7,0.0,1.3e-05,0.0
10,8,0.0,1.2e-05,0.0
10,9,0.0,1.1e-05,0.0
10,10,0.0,1.2e-05,0.0
11,1,0.0,3e-06,0.0
11,2,0.0,5e-06,0.0
11,3,0.0,4e-06,0.0
11,4,0.0,6e-06,0.0
11,5,0.0,6e-06,0.0
11,6,1e-06,9e-06,0.111
11,7,1e-06,9e-06,0.111
11,8,0.0,4.5e-05,0.0
11,9,0.0,1.2e-05,0.0
11,10,1e-06,1.5e-05,0.067
12,1,0.0,2e-06,0.0
12,2,0.0,5e-06,0.0
12,3,0.0,5e-06,0.0
12,4,1e-06,3.1e-05,0.032
12,5,0.0,9e-06,0.0
12,6,0.0,1e-05,0.0
12,7,1e-06,1.1e-05,0.091
12,8,0.0,1e-05,0.0
12,9,0.0,1.7e-05,0.0
12,10,0.0,1.5e-05,0.0
13,1,0.0,2e-06,0.0
13,2,1e-06,1.3e-05,0.077
13,3,0.0,4e-06,0.0
13,4,0.0,5e-06,0.0
13,5,1e-06,6e-06,0.167
13,6,0.0,1e-05,0.0
13,7,0.0,1.1e-05,0.0
13,8,0.0,1.1e-05,0.0
13,9,0.0,1.4e-05,0.0
13,10,0.0,1e-05,0.0
14,1,0.0,3e-06,0.0
14,2,0.0,6e-06,0.0
14,3,0.0,5e-06,0.0
14,4,1e-06,4e-06,0.25
14,5,0.0,7e-06,0.0
14,6,0.0,1e-05,0.0
14,7,0.0,9e-06,0.0
14,8,0.0,8.5e-05,0.0
14,9,0.0,1.5e-05,0.0
14,10,1e-06,1.3e-05,0.077
15,1,0.0,3e-06,0.0
15,2,0.0,6e-06,0.0
15,3,0.0,4e-06,0.0
15,4,0.0,5e-06,0.0
15,5,0.0,7e-06,0.0
15,6,0.0,1.4e-05,0.0
15,7,1e-06,1.5e-05,0.067
15,8,0.0,2.6e-05,0.0
15,9,0.0,1.1e-05,0.0
15,10,0.0,1.1e-05,0.0
16,1,0.0,2e-06,0.0
16,2,0.0,6e-06,0.0
16,3,0.0,4e-06,0.0
16,4,1e-06,1.6e-05,0.063
16,5,1e-06,1.1e-05,0.091
16,6,0.0,1e-05,0.0
16,7,0.0,9e-06,0.0
16,8,0.0,1.4e-05,0.0
16,9,0.0,1.4e-05,0.0
16,10,0.0,1.3e-05,0.0
17,1,0.0,2e-06,0.0
17,2,1e-06,5e-06,0.2
17,3,0.0,6e-06,0.0
17,4,0.0,8e-06,0.0
17,5,0.0,9e-06,0.0
17,6,0.0,1.3e-05,0.0
17,7,0.0,9e-06,0.0
17,8,0.0,9e-06,0.0
17,9,0.0,1.3e-05,0.0
17,10,0.0,1.1e-05,0.0
18,1,0.0,2e-06,0.0
18,2,1e-06,5e-06,0.2
18,3,0.0,4e-06,0.0
18,4,0.0,1.1e-05,0.0
18,5,0.0,9e-06,0.0
18,6,0.0,9e-06,0.0
18,7,0.0,1e-05,0.0
18,8,0.0,1.4e-05,0.0
18,9,1e-06,1.4e-05,0.071
18,10,0.0,1.4e-05,0.0
19,1,0.0,2e-06,0.0
19,2,0.0,7e-06,0.0
19,3,0.0,7e-06,0.0
19,4,1e-06,6e-06,0.167
19,5,0.0,8e-06,0.0
19,6,0.0,1e-05,0.0
19,7,0.0,1.1e-05,0.0
19,8,0.0,1.1e-05,0.0
19,9,1e-06,1e-05,0.1
19,10,0.0,2.7e-05,0.0
20,1,0.0,2e-06,0.0
20,2,0.0,5e-06,0.0
20,3,0.0,4e-06,0.0
20,4,0.0,1.3e-05,0.0
20,5,1e-06,8e-06,0.125
20,6,1e-06,1e-05,0.1
20,7,0.0,1.2e-05,0.0
20,8,0.0,1.1e-05,0.0
20,9,1e-06,1.4e-05,0.071
20,10,0.0,1.3e-05,0.0
21,1,0.0,3e-06,0.0
21,2,0.0,9e-06,0.0
21,3,0.0,5e-06,0.0
21,4,1e-06,5e-06,0.2
21,5,0.0,1.4e-05,0.0
21,6,0.0,4.7e-05,0.0
21,7,0.0,1e-05,0.0
21,8,0.0,1e-05,0.0
21,9,0.0,1.2e-05,0.0
21,10,0.0,1.2e-05,0.0
22,1,1e-06,2e-06,0.5
22,2,0.0,5e-06,0.0
22,3,0.0,5e-06,0.0
22,4,0.0,5e-06,0.0
22,5,1e-06,6e-06,0.167
22,6,0.0,1.6e-05,0.0
22,7,0.0,1.2e-05,0.0
22,8,0.0,1e-05,0.0
22,9,0.0,1.4e-05,0.0
22,10,0.0,1.3e-05,0.0
23,1,0.0,2e-06,0.0
23,2,0.0,7e-06,0.0
23,3,0.0,5e-06,0.0
23,4,0.0,1.5e-05,0.0
23,5,0.0,9e-06,0.0
23,6,0.0,9e-06,0.0
23,7,0.0,9e-06,0.0
23,8,0.0,1.1e-05,0.0
23,9,0.0,1.7e-05,0.0
23,10,0.0,1.1e-05,0.0
24,1,0.0,3e-06,0.0
24,2,0.0,6e-06,0.0
24,3,0.0,6e-06,0.0
24,4,1e-06,9e-06,0.111
24,5,0.0,1e-05,0.0
24,6,0.0,1.6e-05,0.0
24,7,0.0,1.1e-05,0.0
24,8,1e-06,1.9e-05,0.053
24,9,0.0,1.8e-05,0.0
24,10,0.0,1.3e-05,0.0
25,1,0.0,3e-06,0.0
25,2,1e-06,5e-06,0.2
25,3,0.0,5e-06,0.0
25,4,1e-06,5e-06,0.2
