model,n,workers,time_s
mpi,1,14,2.2e-05
openmp,1,50,0.000519
mpi,2,14,1.7e-05
openmp,2,50,0.000541
mpi,3,14,1.8e-05
openmp,3,50,0.000489
mpi,4,14,2.1e-05
openmp,4,50,0.000501
mpi,5,14,2.1e-05
openmp,5,50,0.000498
mpi,6,14,3.6e-05
openmp,6,50,0.000497
mpi,7,14,2.2e-05
openmp,7,50,0.000499
mpi,8,14,2.1e-05
openmp,8,50,0.000592
mpi,9,14,2.3e-05
openmp,9,50,0.000512
mpi,10,14,2.9e-05
openmp,10,50,0.000484
mpi,11,14,2.2e-05
openmp,11,50,0.000526
mpi,12,14,2.4e-05
openmp,12,50,0.000503
mpi,13,14,2.4e-05
openmp,13,50,0.000581
mpi,14,14,2.2e-05
openmp,14,50,0.000515
